"phecode","range_start","range_end"
575.7,574.00,576.99
578.8,578.00,579.99
575.9,574.00,576.99
575.8,574.00,576.99
575.2,574.00,576.99
571.8,570.00,573.99
573.7,570.00,573.99
573.5,570.00,573.99
563,555.00,564.99
556,555.00,564.99
556.11,555.00,564.99
556.1,555.00,564.99
559,555.00,564.99
568.1,565.00,569.99
425.8,420.00,425.99
428.4,428.00,429.99
428.3,428.00,429.99
561,555.00,564.99
564.8,555.00,564.99
557,555.00,564.99
557.1,555.00,564.99
569.2,565.00,569.99
480.12,480.00,488.99
480.13,480.00,488.99
580.1,580.00,590.99
580.11,580.00,590.99
580.2,580.00,590.99
580.12,580.00,590.99
580.13,580.00,590.99
580.14,580.00,590.99
580.3,580.00,590.99
580.31,580.00,590.99
580.32,580.00,590.99
580.4,580.00,590.99
586.1,580.00,590.99
586.2,580.00,590.99
585.1,580.00,590.99
585.2,580.00,590.99
585.3,580.00,590.99
592.11,590.00,593.99
594,594.00,595.99
592.13,590.00,593.99
592.12,590.00,593.99
592.21,590.00,593.99
594.1,594.00,595.99
594.2,594.00,595.99
594.8,594.00,595.99
598.9,598.00,598.99
586.3,580.00,590.99
686.2,680.00,686.99
586.4,580.00,590.99
597.1,595.00,597.99
597.8,595.00,597.99
593.1,590.00,593.99
599.3,599.00,599.99
599.4,599.00,599.99
599.5,599.00,599.99
599.6,599.00,599.99
599.9,599.00,599.99
599.7,599.00,599.99
599.8,599.00,599.99
598.4,598.00,598.99
603.1,600.00,609.99
610.2,610.00,613.99
610.8,610.00,613.99
610.3,610.00,613.99
610.4,610.00,613.99
614.1,614.00,616.99
614.3,614.00,616.99
614.31,614.00,616.99
614.33,614.00,616.99
614.32,614.00,616.99
614.4,614.00,616.99
614.5,614.00,616.99
614.51,614.00,616.99
614.52,614.00,616.99
614.53,614.00,616.99
614.54,614.00,616.99
618.2,617.00,618.99
618.5,617.00,618.99
618.6,617.00,618.99
627.21,626.00,628.99
627.4,626.00,628.99
627.22,626.00,628.99
627.5,626.00,628.99
626.13,626.00,628.99
626.14,626.00,628.99
626.2,626.00,628.99
626.8,626.00,628.99
626.15,626.00,628.99
626.4,626.00,628.99
626.21,626.00,628.99
625.1,624.00,625.99
622.2,620.00,623.99
624.9,624.00,625.99
619.1,619.00,619.99
619.2,619.00,619.99
619.3,619.00,619.99
619.4,619.00,619.99
619.5,619.00,619.99
624.1,624.00,625.99
624.2,624.00,625.99
634.1,634.00,636.99
634.3,634.00,636.99
635.2,634.00,636.99
635.3,634.00,636.99
636.3,634.00,636.99
642.1,642.00,642.99
636.1,634.00,636.99
636.2,634.00,636.99
643.1,643.00,643.99
647.1,647.00,647.99
647.3,647.00,647.99
636.8,634.00,636.99
656.1,656.00,656.99
655.1,655.00,655.99
681.1,680.00,686.99
681.2,680.00,686.99
681.3,680.00,686.99
681.5,680.00,686.99
681.6,680.00,686.99
681.7,680.00,686.99
695.21,690.00,697.99
694.1,690.00,697.99
694.2,690.00,697.99
695.1,690.00,697.99
695.2,690.00,697.99
695.8,690.00,697.99
695.9,690.00,697.99
695.7,690.00,697.99
694.3,690.00,697.99
695.22,690.00,697.99
707.1,707.00,707.99
707.2,707.00,707.99
707.3,707.00,707.99
689,689.00,689.99
704.8,703.00,704.99
706.3,705.00,706.99
706.8,705.00,706.99
702.4,700.00,702.99
711.2,710.00,716.99
711.3,710.00,716.99
710.11,710.00,716.99
710.12,710.00,716.99
710.3,710.00,716.99
836,830.00,839.99
835,830.00,839.99
740.1,740.00,740.99
740.12,740.00,740.99
740.3,740.00,740.99
716.1,710.00,716.99
716.2,710.00,716.99
716.9,710.00,716.99
721.2,720.00,724.99
721.8,720.00,724.99
722.7,720.00,724.99
722.8,720.00,724.99
722.9,720.00,724.99
735.22,735.00,739.99
735.21,735.00,739.99
735.3,735.00,739.99
735.23,735.00,739.99
736.4,735.00,739.99
747.1,747.00,747.99
747.2,747.00,747.99
747.12,747.00,747.99
656.3,656.00,656.99
656.2,656.00,656.99
750.11,750.00,751.99
750.1,750.00,751.99
750.2,750.00,751.99
750.13,750.00,751.99
750.14,750.00,751.99
750.15,750.00,751.99
750.21,750.00,751.99
750.22,750.00,751.99
751.1,750.00,751.99
751.11,750.00,751.99
751.12,750.00,751.99
751.2,750.00,751.99
751.21,750.00,751.99
751.3,750.00,751.99
751.22,750.00,751.99
752.1,752.00,754.99
752.11,752.00,754.99
752.2,752.00,754.99
747.11,747.00,747.99
747.13,747.00,747.99
749.1,747.00,759.99
753.2,752.00,754.99
755.1,754.00,756.99
740.9,740.00,740.99
755.3,754.00,756.99
755.61,754.00,756.99
755.4,754.00,756.99
755.6,754.00,756.99
754.1,754.00,756.99
754.2,754.00,756.99
756.1,754.00,756.99
756.2,754.00,756.99
758.1,756.00,759.99
740.11,740.00,740.99
740.2,740.00,740.99
710.19,710.00,716.99
741.1,741.00,742.99
741.2,741.00,742.99
741.3,741.00,742.99
741.4,741.00,742.99
741.6,741.00,742.99
742.1,741.00,742.99
742.2,741.00,742.99
723.1,720.00,724.99
724.2,720.00,724.99
724.8,720.00,724.99
724.9,720.00,724.99
736.2,735.00,739.99
736.5,735.00,739.99
736.1,735.00,739.99
736.3,735.00,739.99
736.6,735.00,739.99
737.1,735.00,739.99
737.2,735.00,739.99
737.3,735.00,739.99
738.4,735.00,739.99
364.9,360.00,365.99
726.1,725.00,729.99
726.2,725.00,729.99
726.3,725.00,729.99
726.4,725.00,729.99
729.3,725.00,729.99
840.1,840.00,848.99
915,910.00,919.99
840.2,840.00,848.99
840.3,840.00,848.99
841,840.00,848.99
842,840.00,848.99
960.1,960.00,979.99
960.2,960.00,979.99
960.3,960.00,979.99
979,960.00,979.99
961.1,960.00,979.99
742.9,741.00,742.99
742.8,741.00,742.99
728.1,725.00,729.99
964.1,960.00,979.99
972.6,960.00,979.99
963.1,960.00,979.99
994.1,994.00,994.99
994.2,994.00,994.99
110.11,110.00,118.99
110.12,110.00,118.99
110.13,110.00,118.99
110.2,110.00,118.99
117.3,110.00,118.99
117.4,110.00,118.99
132.1,130.00,136.99
130.1,130.00,136.99
134.1,130.00,136.99
686.3,680.00,686.99
686.4,680.00,686.99
941,930.00,949.99
949,930.00,949.99
947,930.00,949.99
371.21,369.00,374.99
705.8,705.00,706.99
687,687.00,687.99
772.1,772.00,772.99
772.2,772.00,772.99
772.3,772.00,772.99
772.4,772.00,772.99
772.6,772.00,772.99
291.4,290.00,292.99
292.1,290.00,292.99
292.2,290.00,292.99
340.1,339.00,340.99
292.3,290.00,292.99
292.4,290.00,292.99
292.5,290.00,292.99
292.6,290.00,292.99
800.1,800.00,809.99
800.3,800.00,809.99
800.2,800.00,809.99
800.4,800.00,809.99
801,800.00,809.99
801.1,800.00,809.99
803.1,800.00,809.99
803.2,800.00,809.99
804,800.00,809.99
809,800.00,809.99
819,816.00,819.99
871.1,870.00,879.99
870.3,870.00,879.99
870.4,870.00,879.99
870.5,870.00,879.99
870.6,870.00,879.99
870.8,870.00,879.99
871.2,870.00,879.99
872,870.00,879.99
871.3,870.00,879.99
871.4,870.00,879.99
803.21,800.00,809.99
818.1,816.00,819.99
818.2,816.00,819.99
850,850.00,859.99
853,850.00,859.99
855,850.00,859.99
856,850.00,859.99
857,850.00,859.99
858,850.00,859.99
859,850.00,859.99
429.9,428.00,429.99
458.2,458.00,459.99
458.9,458.00,459.99
519.2,519.00,519.99
695.81,690.00,697.99
696.3,690.00,697.99
696.2,690.00,697.99
597.2,595.00,597.99
536.7,535.00,537.99
874,870.00,879.99
875,870.00,879.99
942,930.00,949.99
876,870.00,879.99
286.9,286.00,287.99
962.1,960.00,979.99
962.2,960.00,979.99
962.3,960.00,979.99
965.1,960.00,979.99
972.2,960.00,979.99
965.2,960.00,979.99
965.3,960.00,979.99
972.1,960.00,979.99
939.1,930.00,949.99
459.1,458.00,459.99
457.2,450.00,457.99
457.3,450.00,457.99
440.21,440.00,449.99
440.22,440.00,449.99
519.8,519.00,519.99
519.9,519.00,519.99
771.1,771.00,771.99
771.2,771.00,771.99
743.1,743.00,744.99
731.1,730.00,739.99
743.11,743.00,744.99
743.12,743.00,744.99
743.13,743.00,744.99
743.21,743.00,744.99
743.22,743.00,744.99
743.2,743.00,744.99
733.4,730.00,739.99
743.9,743.00,744.99
743.4,743.00,744.99
275.6,275.00,275.99
418.1,418.00,418.99
687.1,687.00,687.99
687.2,687.00,687.99
687.3,687.00,687.99
687.4,687.00,687.99
609,600.00,609.99
609.1,600.00,609.99
604.1,600.00,609.99
604.2,600.00,609.99
604.3,600.00,609.99
603.2,600.00,609.99
609.11,600.00,609.99
609.2,600.00,609.99
585.31,580.00,590.99
585.4,580.00,590.99
594.3,594.00,595.99
282.8,280.00,285.99
442.11,440.00,449.99
286.6,286.00,287.99
269,269.00,270.99
585.32,580.00,590.99
250.41,249.00,250.99
250.42,249.00,250.99
428.2,428.00,429.99
427.5,426.00,427.99
285.8,280.00,285.99
270.38,269.00,270.99
279.8,279.00,279.99
504.1,500.00,509.99
251.8,251.00,259.99
611,610.00,613.99
611.1,610.00,613.99
415.11,415.00,417.99
415.21,415.00,417.99
612,610.00,613.99
611.3,610.00,613.99
613,613.00,613.99
612.1,610.00,613.99
612.2,610.00,613.99
613.5,613.00,613.99
613.7,613.00,613.99
613.1,613.00,613.99
612.3,610.00,613.99
686.5,680.00,686.99
613.8,613.00,613.99
613.9,613.00,613.99
611.11,610.00,613.99
301.1,295.00,306.99
301.2,295.00,306.99
443.7,440.00,449.99
443.1,440.00,449.99
270.11,269.00,270.99
297.1,295.00,306.99
286.12,286.00,287.99
286.11,286.00,287.99
313.3,312.00,315.99
324.1,320.00,326.90
327.71,327.00,328.99
365.11,360.00,365.99
433.32,430.00,438.99
512.8,512.00,512.99
512.7,512.00,512.99
697,690.00,697.99
691,690.00,697.99
691.1,690.00,697.99
378.2,375.00,379.99
327.72,327.00,328.99
447.7,440.00,449.99
561.1,555.00,564.99
561.2,555.00,564.99
446.2,440.00,449.99
728.71,725.00,729.99
750.5,750.00,751.99
303.31,295.00,306.99
305.21,295.00,306.99
305.2,295.00,306.99
300.1,295.00,306.99
300.12,295.00,306.99
300.11,295.00,306.99
300.4,295.00,306.99
306.1,295.00,306.99
300.13,295.00,306.99
379.5,375.00,379.99
217.1,216.00,217.99
366.3,366.00,366.99
366.2,366.00,366.99
379.51,375.00,379.99
370.31,369.00,374.99
370.3,369.00,374.99
370.2,369.00,374.99
370.1,369.00,374.99
701.3,700.00,701.99
701.2,700.00,701.99
701.5,700.00,701.99
690.1,690.00,697.99
216.1,216.00,217.99
217,216.00,217.99
172.11,172.00,173.99
691.3,690.00,697.99
198.7,195.00,199.99
172.22,172.00,173.99
172.21,172.00,173.99
228.1,228.00,228.99
214.1,214.00,215.99
112.3,110.00,118.99
938.2,930.00,949.99
938.1,930.00,949.99
793,793.00,793.99
656.4,656.00,656.99
452.1,450.00,457.99
654.2,652.00,654.99
656.5,656.00,656.99
656.6,656.00,656.99
656.7,656.00,656.99
656.8,656.00,656.99
656.9,656.00,656.99
657,657.00,657.99
658,658.00,658.99
327.41,327.00,328.99
286.2,286.00,287.99
286.3,286.00,287.99
286.4,286.00,287.99
286.7,286.00,287.99
510.2,510.00,510.99
860,860.00,860.99
244.4,240.00,246.99
259.2,251.00,259.99
374.2,369.00,374.99
374.6,369.00,374.99
316.1,316.00,319.99
277.2,277.00,277.99
277.1,277.00,277.99
980,980.00,980.99
444.2,440.00,449.99
509.3,500.00,509.99
509.5,500.00,509.99
509.8,500.00,509.99
539,539.00,539.99
749.2,748.00,749.99
514.2,514.00,514.99
958.1,958.00,959.99
958.2,958.00,959.99
292.11,290.00,292.99
292.12,290.00,292.99
756.3,754.00,756.99
756.5,754.00,756.99
295.3,295.00,306.99
368.91,368.00,368.99
306.9,295.00,306.99
426.24,426.00,427.99
426.25,426.00,427.99
425.11,420.00,425.99
425.12,420.00,425.99
297.2,295.00,306.99
716.3,710.00,716.99
716.8,710.00,716.99
323.8,320.00,326.90
323.2,320.00,326.90
291.8,290.00,292.99
259.3,251.00,259.99
259.4,251.00,259.99
254,251.00,259.99
555.21,555.00,564.99
585.33,580.00,590.99
585.34,580.00,590.99
756.21,754.00,756.99
756.22,754.00,756.99
286.81,286.00,287.99
359.1,356.00,359.99
359.2,356.00,359.99
586.11,580.00,590.99
586.12,580.00,590.99
275.11,275.00,275.99
573.6,570.00,573.99
286.13,286.00,287.99
270.12,269.00,270.99
270.21,269.00,270.99
270.34,269.00,270.99
270.35,269.00,270.99
264.1,260.00,264.99
264.3,260.00,264.99
264.9,260.00,264.99
260.21,260.00,264.99
260.22,260.00,264.99
258.1,251.00,259.99
256.1,251.00,259.99
255.21,251.00,259.99
255.22,251.00,259.99
255.13,251.00,259.99
253.11,251.00,259.99
253.5,251.00,259.99
253.7,251.00,259.99
245.21,240.00,246.99
242.31,240.00,246.99
229.1,229.00,229.99
283.21,280.00,285.99
284.2,280.00,285.99
287.2,286.00,287.99
287.4,286.00,287.99
289.1,288.00,289.99
579.8,578.00,579.99
579.2,578.00,579.99
701.6,700.00,701.99
704.12,703.00,704.99
789.1,789.00,789.99
781.1,781.00,781.99
781.2,781.00,781.99
783.1,783.00,783.99
795.81,795.00,795.99
795.82,795.00,795.99
797.1,797.00,797.99
573.1,570.00,573.99
727.1,725.00,729.99
727.2,725.00,729.99
727.4,725.00,729.99
727.5,725.00,729.99
727.6,725.00,729.99
727.7,725.00,729.99
727.8,725.00,729.99
728.2,725.00,729.99
729.1,725.00,729.99
729.7,725.00,729.99
732.1,730.00,739.99
732.7,730.00,739.99
656.22,656.00,656.99
656.26,656.00,656.99
733.9,730.00,739.99
733.2,730.00,739.99
949.1,930.00,949.99
441.1,440.00,449.99
441.2,440.00,449.99
759.1,756.00,759.99
260.3,260.00,264.99
994.21,994.00,994.99
916,916.00,916.99
338.2,338.00,338.90
338.1,338.00,338.90
338,338.00,338.90
195.3,195.00,199.99
150,140.00,159.99
151,140.00,159.99
153,150.00,159.99
155,140.00,159.99
157,140.00,159.99
159,140.00,159.99
174,174.00,184.99
182,174.00,184.99
180,174.00,184.99
184,174.00,184.99
185,185.00,187.99
187,185.00,187.99
190,224.00,225.99
191,224.00,225.99
193,193.00,194.99
194,193.00,194.99
208,153.00,153.99
210,140.00,149.99
211,211.00,211.99
218,217.00,223.99
220,174.00,184.99
221,217.00,223.99
222,185.00,187.99
224,224.00,225.99
225,224.00,225.99
226,193.00,194.99
227,193.00,194.99
331,330.00,337.99
332,330.00,337.99
333,330.00,337.99
334,330.00,337.99
335,330.00,337.99
337,330.00,337.99
341,330.00,337.99
342,330.00,337.99
343,330.00,337.99
344,330.00,337.99
345,330.00,337.99
346,330.00,337.99
347,330.00,337.99
348,330.00,337.99
349,330.00,337.99
"090",90.00,92.99
695.4,690.00,697.99
530,530.00,530.99
600,185.00,187.99
601,185.00,187.99
602,185.00,187.99
696,690.00,697.99
709,690.00,697.99
714,714.00,716.00
715,714.00,716.00
792,174.00,184.99
796,185.00,187.99
530.1,530.00,530.99
709.2,690.00,697.99
155.1,140.00,159.99
174.1,174.00,184.99
180.1,174.00,184.99
184.1,174.00,184.99
187.1,185.00,187.99
191.1,224.00,225.99
200.1,200.00,204.99
"081",80.00,82.99
153.3,150.00,159.99
153.2,150.00,159.99
"080",80.00,82.99
"079",50.00,79.99
184.2,174.00,184.99
187.2,185.00,187.99
709.4,690.00,697.99
709.3,690.00,697.99
714.1,714.00,716.00
715.1,714.00,716.00
714.2,714.00,716.00
337.1,330.00,337.99
"078",50.00,79.99
"071",50.00,79.99
"070.3",50.00,79.99
601.1,185.00,187.99
530.3,530.00,530.99
530.5,530.00,530.99
159.2,140.00,159.99
159.3,140.00,159.99
174.11,174.00,184.99
174.2,174.00,184.99
184.11,174.00,184.99
149,140.00,149.99
149.1,140.00,149.99
149.2,140.00,149.99
149.3,140.00,149.99
149.4,140.00,149.99
149.5,140.00,149.99
145.1,140.00,149.99
145.2,140.00,149.99
145.3,140.00,149.99
145.4,140.00,149.99
145.5,140.00,149.99
145,140.00,149.99
149.9,140.00,149.99
158,140.00,159.99
334.2,330.00,337.99
334.1,330.00,337.99
345.1,330.00,337.99
345.11,330.00,337.99
345.12,330.00,337.99
345.3,330.00,337.99
"070.2",50.00,79.99
"070.1",50.00,79.99
"070",50.00,79.99
"054",50.00,79.99
348.2,330.00,337.99
348.9,330.00,337.99
"053",50.00,79.99
530.2,530.00,530.99
530.11,530.00,530.99
530.12,530.00,530.99
530.13,530.00,530.99
530.6,530.00,530.99
530.14,530.00,530.99
530.7,530.00,530.99
532,530.00,530.99
601.3,185.00,187.99
601.4,185.00,187.99
601.11,185.00,187.99
601.12,185.00,187.99
601.8,185.00,187.99
602.3,185.00,187.99
715.2,714.00,716.00
696.4,690.00,697.99
187.8,185.00,187.99
180.3,174.00,184.99
218.1,217.00,223.99
218.2,217.00,223.99
159.4,140.00,159.99
191.11,224.00,225.99
333.1,330.00,337.99
333.2,330.00,337.99
333.3,330.00,337.99
333.4,330.00,337.99
289.8,288.00,289.99
175,174.00,184.99
174.3,174.00,184.99
"041",10.00,41.99
334.21,330.00,337.99
530.15,530.00,530.99
695.41,690.00,697.99
695.42,690.00,697.99
696.41,690.00,697.99
696.42,690.00,697.99
333.8,330.00,337.99
224.1,224.00,225.99
530.9,530.00,530.99
331.1,330.00,337.99
348.4,330.00,337.99
348.8,330.00,337.99
348.7,330.00,337.99
331.9,330.00,337.99
"038",10.00,41.99
"031",10.00,41.99
"010",10.00,41.99
"008",1.00,9.99
227.1,193.00,194.99
227.2,193.00,194.99
227.3,193.00,194.99
225.1,224.00,225.99
225.2,224.00,225.99
346.1,330.00,337.99
346.2,330.00,337.99
346.3,330.00,337.99
715.3,714.00,716.00
792.1,174.00,184.99
709.5,690.00,697.99
709.6,690.00,697.99
709.7,690.00,697.99
150,210.00,211.99
151,210.00,211.99
153,208.00,208.99
155,210.00,211.99
157,210.00,211.99
159,210.00,211.99
174,610.00,610.99
182,218.00,218.99
180,792.00,792.99
184,220.00,221.99
185,600.00,602.99
187,222.00,222.99
190,190.00,192.99
191,190.00,192.99
193,226.00,227.99
194,226.00,227.99
208,208.00,208.99
210,210.00,210.99
211,150.00,159.99
218,180.00,184.99
220,217.00,221.99
221,174.00,184.99
222,222.00,222.99
224,190.00,192.99
225,190.00,192.99
226,226.00,227.99
227,226.00,227.99
331,341.00,349.99
332,341.00,349.99
333,341.00,349.99
334,341.00,349.99
335,341.00,349.99
337,341.00,349.99
341,341.00,349.99
342,341.00,349.99
343,341.00,349.99
344,341.00,349.99
345,341.00,349.99
346,341.00,349.99
347,341.00,349.99
348,341.00,349.99
349,341.00,349.99
695.4,335.00,335.99
530,532.00,532.99
600,600.00,602.99
601,600.00,602.99
602,600.00,602.99
696,714.00,714.99
709,708.00,709.99
714,696.00,696.99
715,696.00,696.99
792,792.00,792.99
796,600.00,602.99
530.1,532.00,532.99
709.2,708.00,709.99
155.1,210.00,211.99
174.1,610.00,610.99
180.1,792.00,792.99
184.1,220.00,221.99
187.1,222.00,222.99
191.1,190.00,192.99
200.1,289.00,289.99
153.3,208.00,208.99
153.2,208.00,208.99
184.2,220.00,221.99
187.2,222.00,222.99
709.4,708.00,709.99
709.3,708.00,709.99
714.1,696.00,696.99
715.1,696.00,696.99
714.2,696.00,696.99
337.1,341.00,349.99
601.1,600.00,602.99
530.3,532.00,532.99
530.5,532.00,532.99
159.2,210.00,211.99
159.3,210.00,211.99
174.11,610.00,610.99
174.2,610.00,610.99
184.11,220.00,221.99
149,210.00,210.99
149.1,210.00,210.99
149.2,210.00,210.99
149.3,210.00,210.99
149.4,210.00,210.99
149.5,210.00,210.99
145.1,210.00,210.99
145.2,210.00,210.99
145.3,210.00,210.99
145.4,210.00,210.99
145.5,210.00,210.99
145,210.00,210.99
149.9,210.00,210.99
158,210.00,211.99
334.2,341.00,349.99
334.1,341.00,349.99
345.1,341.00,349.99
345.11,341.00,349.99
345.12,341.00,349.99
345.3,341.00,349.99
348.2,341.00,349.99
348.9,341.00,349.99
530.2,532.00,532.99
530.11,532.00,532.99
530.12,532.00,532.99
530.13,532.00,532.99
530.6,532.00,532.99
530.14,532.00,532.99
530.7,532.00,532.99
532,532.00,532.99
601.3,600.00,602.99
601.4,600.00,602.99
601.11,600.00,602.99
601.12,600.00,602.99
601.8,600.00,602.99
602.3,600.00,602.99
715.2,696.00,696.99
696.4,714.00,714.99
187.8,222.00,222.99
180.3,792.00,792.99
218.1,180.00,184.99
218.2,180.00,184.99
159.4,210.00,211.99
191.11,190.00,192.99
333.1,341.00,349.99
333.2,341.00,349.99
333.3,341.00,349.99
333.4,341.00,349.99
289.8,200.00,200.99
175,610.00,611.99
174.3,610.00,610.99
334.21,341.00,349.99
530.15,532.00,532.99
695.41,335.00,335.99
695.42,335.00,335.99
696.41,714.00,714.99
696.42,714.00,714.99
333.8,341.00,349.99
224.1,190.00,192.99
530.9,532.00,532.99
331.1,341.00,349.99
348.4,341.00,349.99
348.8,341.00,349.99
348.7,341.00,349.99
331.9,341.00,349.99
227.1,226.00,227.99
227.2,226.00,227.99
227.3,226.00,227.99
225.1,190.00,192.99
225.2,190.00,192.99
346.1,341.00,349.99
346.2,341.00,349.99
346.3,341.00,349.99
715.3,696.00,696.99
792.1,792.00,792.99
709.5,708.00,709.99
709.6,708.00,709.99
709.7,708.00,709.99
180,218.00,218.99
185,796.00,796.99
600,796.00,796.99
601,796.00,796.99
602,796.00,796.99
792,218.00,218.99
796,796.00,796.99
180.1,218.00,218.99
601.1,796.00,796.99
601.3,796.00,796.99
601.4,796.00,796.99
601.11,796.00,796.99
601.12,796.00,796.99
601.8,796.00,796.99
602.3,796.00,796.99
180.3,218.00,218.99
792.1,218.00,218.99
362,250.70,250.79
362.2,250.70,250.79
362.8,250.70,250.79
362.21,250.70,250.79
362.22,250.70,250.79
362.4,250.70,250.79
362.6,250.70,250.79
362.9,250.70,250.79
362.23,250.70,250.79
362.27,250.70,250.79
362.26,250.70,250.79
362.7,250.70,250.79
250.7,250.70,250.79
362.29,250.70,250.79
362.1,250.70,250.79
362.31,250.70,250.79
362.5,250.70,250.79
362.3,250.70,250.79
362,360.00,365.99
362.2,360.00,365.99
362.8,360.00,365.99
362.21,360.00,365.99
362.22,360.00,365.99
362.4,360.00,365.99
362.6,360.00,365.99
362.9,360.00,365.99
362.23,360.00,365.99
362.27,360.00,365.99
362.26,360.00,365.99
362.7,360.00,365.99
250.7,360.00,365.99
362.29,360.00,365.99
362.1,360.00,365.99
362.31,360.00,365.99
362.5,360.00,365.99
362.3,360.00,365.99
"041.2",10.00,41.99
"041.21",10.00,41.99
"070.4",50.00,79.99
"041.4",10.00,41.99
"041.8",10.00,41.99
"041.12",10.00,41.99
"041.11",10.00,41.99
"041.1",10.00,41.99
"008.6",1.00,9.99
"008.5",1.00,9.99
"008.51",1.00,9.99
"008.52",1.00,9.99
"053.1",50.00,79.99
"079.1",50.00,79.99
"038.3",10.00,41.99
"031.1",10.00,41.99
"041.9",10.00,41.99
"008.7",1.00,9.99
"038.1",10.00,41.99
"038.2",10.00,41.99
"090.2",90.00,92.99
"090.3",90.00,92.99
"071.1",50.00,79.99
"079.2",50.00,79.99
"079.9",50.00,79.99
"081.1",80.00,82.99
"081.11",80.00,82.99
"081.12",80.00,82.99
"070.9",50.00,79.99
